Task,Planned action,Planned outcome,Time estimated,Target completion date
,Work on code,updated ok to revert, ,2018-09-01 (6 weeks ago)
,Work on code,source editor works ok to revert still needs work though, ,2018-09-01 (6 weeks ago)
,Work on code,executerservice works just like thread rn. but added sources. multithreaded speed confirmed., ,2018-09-01 (6 weeks ago)
,Work on code,Added some functions for joining threads, still stuck. beginning port to executor service. ok to revert to, ,2018-09-01 (6 weeks ago)
,Work on code,search works well now extract with threads still a little glitchy ok to revert to i guess, ,2018-08-30 (6 weeks ago)
,Work on code,multithread works but still dont revert yet, ,2018-08-30 (6 weeks ago)
,Work on code,DO NOT REVERT TO THIS COMMIT -- BETA -- ADDED EXTRACTOR CONTAINER, ,2018-08-30 (6 weeks ago)
,Work on code,single threaded works, ,2018-08-30 (6 weeks ago)
,Work on code,added twitter custom checkbox, ,2018-08-29 (6 weeks ago)
,Work on code,better code, ,2018-08-29 (6 weeks ago)
,Work on code,attached remote javadoc to jtwitter: https://www.winterwell.com/software/jtwitter/javadoc/, ,2018-08-29 (6 weeks ago)
,Work on code,added libs, ,2018-08-29 (6 weeks ago)
,Work on code,writes as it goes, ,2018-08-28 (6 weeks ago)
,Work on code,writes as it goes, ,2018-08-28 (6 weeks ago)
,Work on code,Changed main ui, ,2018-08-28 (6 weeks ago)
,Work on code,Fixed broken project, ,2018-08-28 (6 weeks ago)
,Work on code,Fixed broken project, ,2018-08-28 (6 weeks ago)
,Work on code,Delete project.xml, ,2018-08-28 (6 weeks ago)
,Work on code,Delete project.properties, ,2018-08-28 (6 weeks ago)
,Work on code,Delete genfiles.properties, ,2018-08-28 (6 weeks ago)
,Work on code,Delete build-impl.xml, ,2018-08-28 (6 weeks ago)
,Work on code,Delete manifest.mf, ,2018-08-28 (6 weeks ago)
,Work on code,Delete links.txt, ,2018-08-28 (6 weeks ago)
,Work on code,Delete build.xml, ,2018-08-28 (6 weeks ago)
,Work on code,Delete acountss.txt, ,2018-08-28 (6 weeks ago)
,Work on code,Delete Java 8 Articles, ,2018-08-28 (6 weeks ago)
,Work on code,remove storygrab folder, ,2018-08-28 (6 weeks ago)
,Work on code,tst, ,2018-08-28 (6 weeks ago)
,Work on code,extractor works recursively, ,2018-08-28 (6 weeks ago)
,Work on code,changed extractor, ,2018-08-28 (6 weeks ago)
,Work on code,added links, ,2018-08-28 (6 weeks ago)
,Work on code,added nonfunct xtractor, ,2018-08-27 (6 weeks ago)
,Work on code,added period, ,2018-08-27 (6 weeks ago)
,Work on code,added help menu, ,2018-08-27 (6 weeks ago)
,Work on code,fixed last commit, ,2018-08-27 (6 weeks ago)
,Work on code,Update README.md, ,2018-08-27 (6 weeks ago)
,Work on code,Update README.md, ,2018-08-27 (6 weeks ago)
,Work on code,Update README.md, ,2018-08-27 (6 weeks ago)
,Work on code,Merge origin/master, ,2018-08-27 (6 weeks ago)
,Work on code,BIG ONE: Removed access to create account panel-it was not necessary and it was insecure, ,2018-08-27 (6 weeks ago)
,Work on code,Update README.md, ,2018-08-27 (6 weeks ago)
,Work on code,Update README.md, ,2018-08-27 (6 weeks ago)
,Work on code,Update README.md, ,2018-08-26 (6 weeks ago)
,Work on code,added screenshots, ,2018-08-26 (6 weeks ago)
,Work on code,added two icons, ,2018-08-26 (6 weeks ago)
,Work on code,fixed corners by changing JFrame shape, ,2018-08-25 (7 weeks ago)
,Work on code,fixed mac issue with spawning pwdfield in create account, ,2018-08-25 (7 weeks ago)
,Work on code,add logo, ,2018-08-25 (7 weeks ago)
