Task\Planned action\Planned outcome\Time estimated\Target completion date
\Work on code\Extends thread not implements runnable. now can access extractor vars so cool\  \2018-09-12 (3 months ago)
\Work on code\OK to revert - progress bar works great\  \2018-09-11 (3 months ago)
\Work on code\dont revert just updating progress\  \2018-09-10 (3 months ago)
\Work on code\MAJOR. REVERT TO HERE.  Progress works!\  \2018-09-10 (3 months ago)
\Work on code\background runner works well\  \2018-09-10 (3 months ago)
\Work on code\extractorcontainer is replaced by background runner\  \2018-09-10 (3 months ago)
\Work on code\just backing up work DO NOT REVERT\  \2018-09-10 (3 months ago)
\Work on code\update working tree dont revert to here\  \2018-09-10 (3 months ago)
\Work on code\wouldn't necessarily revert to here, just updating tree for desktop\  \2018-09-08 (3 months ago)
\Work on code\modified props and little ui change\  \2018-09-07 (3 months ago)
\Work on code\added sources and authentication\  \2018-09-05 (3 months ago)
\Work on code\added refresh src button\  \2018-09-03 (3 months ago)
\Work on code\fixed readme.md\  \2018-09-03 (3 months ago)
\Work on code\Delete sgmain.PNG\  \2018-09-03 (3 months ago)
\Work on code\Update README.md\  \2018-09-03 (3 months ago)
\Work on code\fixed readme.md\  \2018-09-03 (3 months ago)
\Work on code\fixed readme.md\  \2018-09-03 (3 months ago)
\Work on code\fixed readme.md\  \2018-09-03 (3 months ago)
\Work on code\revisited main layout\  \2018-09-03 (3 months ago)
\Work on code\works about to change executor to larger scope ok to revert to\  \2018-09-03 (3 months ago)
\Work on code\about to change to executor.submit - OK TO REVERT\  \2018-09-02 (3 months ago)
\Work on code\updated ok to revert\  \2018-09-01 (3 months ago)
\Work on code\source editor works ok to revert still needs work though\  \2018-09-01 (3 months ago)
\Work on code\executerservice works just like thread rn. but added sources. multithreaded speed confirmed.\  \2018-09-01 (3 months ago)
\Work on code\Added some functions for joining threads, still stuck. beginning port to executor service. ok to revert to\  \2018-09-01 (3 months ago)
\Work on code\search works well now extract with threads still a little glitchy ok to revert to i guess\  \2018-08-30 (4 months ago)
\Work on code\multithread works but still dont revert yet\  \2018-08-30 (4 months ago)
\Work on code\DO NOT REVERT TO THIS COMMIT -- BETA -- ADDED EXTRACTOR CONTAINER\  \2018-08-30 (4 months ago)
\Work on code\single threaded works\  \2018-08-30 (4 months ago)
\Work on code\added twitter custom checkbox\  \2018-08-29 (4 months ago)
\Work on code\better code\  \2018-08-29 (4 months ago)
\Work on code\attached remote javadoc to jtwitter: https://www.winterwell.com/software/jtwitter/javadoc/\  \2018-08-29 (4 months ago)
\Work on code\added libs\  \2018-08-29 (4 months ago)
\Work on code\writes as it goes\  \2018-08-28 (4 months ago)
\Work on code\writes as it goes\  \2018-08-28 (4 months ago)
\Work on code\Changed main ui\  \2018-08-28 (4 months ago)
\Work on code\Fixed broken project\  \2018-08-28 (4 months ago)
\Work on code\Fixed broken project\  \2018-08-28 (4 months ago)
\Work on code\Delete project.xml\  \2018-08-28 (4 months ago)
\Work on code\Delete project.properties\  \2018-08-28 (4 months ago)
\Work on code\Delete genfiles.properties\  \2018-08-28 (4 months ago)
\Work on code\Delete build-impl.xml\  \2018-08-28 (4 months ago)
\Work on code\Delete manifest.mf\  \2018-08-28 (4 months ago)
\Work on code\Delete links.txt\  \2018-08-28 (4 months ago)
\Work on code\Delete build.xml\  \2018-08-28 (4 months ago)
\Work on code\Delete acountss.txt\  \2018-08-28 (4 months ago)
\Work on code\Delete Java 8 Articles\  \2018-08-28 (4 months ago)
\Work on code\remove storygrab folder\  \2018-08-28 (4 months ago)
\Work on code\tst\  \2018-08-28 (4 months ago)
\Work on code\extractor works recursively\  \2018-08-28 (4 months ago)
\Work on code\changed extractor\  \2018-08-28 (4 months ago)
\Work on code\added links\  \2018-08-28 (4 months ago)
\Work on code\added nonfunct xtractor\  \2018-08-27 (4 months ago)
\Work on code\added period\  \2018-08-27 (4 months ago)
\Work on code\added help menu\  \2018-08-27 (4 months ago)
\Work on code\fixed last commit\  \2018-08-27 (4 months ago)
\Work on code\Update README.md\  \2018-08-27 (4 months ago)
\Work on code\Update README.md\  \2018-08-27 (4 months ago)
\Work on code\Update README.md\  \2018-08-27 (4 months ago)
\Work on code\Merge origin/master\  \2018-08-27 (4 months ago)
\Work on code\BIG ONE: Removed access to create account panel-it was not necessary and it was insecure\  \2018-08-27 (4 months ago)
\Work on code\Update README.md\  \2018-08-27 (4 months ago)
\Work on code\Update README.md\  \2018-08-27 (4 months ago)
\Work on code\Update README.md\  \2018-08-26 (4 months ago)
\Work on code\added screenshots\  \2018-08-26 (4 months ago)
\Work on code\added two icons\  \2018-08-26 (4 months ago)
\Work on code\fixed corners by changing JFrame shape\  \2018-08-25 (4 months ago)
\Work on code\fixed mac issue with spawning pwdfield in create account\  \2018-08-25 (4 months ago)
\Work on code\add logo\  \2018-08-25 (4 months ago)
\Work on code\change author from calvi to my actual name\  \2018-08-25 (4 months ago)
\Work on code\Cleaned up functions and improved create accounts screen\  \2018-08-25 (4 months ago)
\Work on code\Buttons and labels now work for release too\  \2018-08-25 (4 months ago)
\Work on code\Big one: fixed buttons toggling and create account only works if it fields are filled all the way To do: pressed not clicked for buttons\  \2018-08-25 (4 months ago)
\Work on code\added writing accounts to file and loading\  \2018-08-24 (4 months ago)
\Work on code\added create account\  \2018-08-24 (4 months ago)
\Work on code\update readme\  \2018-08-24 (4 months ago)
\Work on code\update readme\  \2018-08-24 (4 months ago)
\Work on code\Added Accountmanager and user classes.\  \2018-08-24 (4 months ago)
\Work on code\added checked and unchecked icons - may not be used\  \2018-08-24 (4 months ago)
\Work on code\login creates new screen\  \2018-08-24 (4 months ago)
\Work on code\Made it look nicer and added icons\  \2018-08-24 (4 months ago)
\Work on code\add lib\  \2018-08-24 (4 months ago)
\Work on code\update readme\  \2018-08-24 (4 months ago)
\Work on code\update readme\  \2018-08-24 (4 months ago)
\Work on code\Create README.md\  \2018-08-23 (4 months ago)
\Work on code\Fixed opacity problem and added X\  \2018-08-23 (4 months ago)
\Work on code\First commit\  \2018-08-23 (4 months ago)
